"","reactor","time","pH","Acetate","Ammonia","VS","DNAcontent"
"31C1","C1",31,7.54,0.24,1002,13.4,542.37
"34C1","C1",34,7.53,0.17,950,13.55,533.87
"38C1","C1",38,7.55,0.26,1114,13.93,709.86
"41C1","C1",41,7.55,0.24,1150,13.84,295.05
"45C1","C1",45,7.56,0.21,980,13.77,1488.96
"59C1","C1",59,7.58,0.11,1155,13.71,254
"62C1","C1",62,7.57,0.15,1099,13.87,204.71
"66C1","C1",66,7.55,0.2,1200,13.72,582.94
"69C1","C1",69,7.55,0.03,1142,13.57,244.12
"73C1","C1",73,7.52,0.12,1156,13.78,100.13
"76C1","C1",76,7.53,0.06,1158,13.9,172.69
"80C1","C1",80,7.52,0.08,1172,14.03,843.69
"83C1","C1",83,7.55,0.18,1154,13.36,256.95
"87C1","C1",87,7.53,0.2,1114,13.39,156.85
"90C1","C1",90,7.57,0.2,1064,13.33,533.87
"97C1","C1",97,7.62,0.17,1181,13.31,174.98
"101C1","C1",101,7.61,0.24,1032,13.99,331.79
"104C1","C1",104,7.6,0.19,1146,18.55,1171.14
"111C1","C1",111,7.59,0.17,1084,13.35,428.51
"122C1","C1",122,7.62,0.37,1121,13.32,509.39
"125C1","C1",125,7.64,0.28,1178,13.42,223.17
"129C1","C1",129,7.59,0.26,1099,13.68,2184.27
"132C1","C1",132,7.6,0.5,1245,14.36,430.19
"136C1","C1",136,7.62,0.43,1229,14.17,549.58
"160C1","C1",160,7.65,0.41,1178,15.27,448.57
"164C1","C1",164,7.62,0.51,1231,13.98,155.15
"167C1","C1",167,7.64,0.4,1233,13.99,301.85
"171C1","C1",171,7.61,0.54,1162,14.3,1150.91
"206C1","C1",206,7.5,0.34,1186,13.59,301.65
"213C1","C1",213,7.5,0.21,1232,13.14,309.16
"220C1","C1",220,7.51,0.12,1196,14.85,130.91
"238C1","C1",238,7.54,0.17,1190,14.36,193.5
"252C1","C1",252,7.44,0.12,1444,14.05,336.1
"309C1","C1",309,7.58,0.22,1042,14.56,186.53
"312C1","C1",312,7.58,0.42,1128,14.44,200.9
"315C1","C1",315,7.58,0.3,1118,14.36,197.82
"319C1","C1",319,7.69,0.29,1223,14.21,634.13
"322C1","C1",322,7.59,0.27,1209,11.85,135.79
"326C1","C1",326,7.63,0.3,1251,14.89,108.53
"336C1","C1",336,7.63,0.34,1141,12.97,312.37
"340C1","C1",340,7.65,0.33,1069,13.02,77.02
"347C1","C1",347,7.56,0.47,888,14.57,265.38
"350C1","C1",350,7.62,0.34,1036,14.02,232.12
"368C1","C1",368,7.58,0.35,867,14.67,653.24
"375C1","C1",375,7.6,0.45,977,15.75,229
"381C1","C1",381,7.61,0.35,971,15.88,325.68
"388C1","C1",388,7.61,0.56,958,15.75,347.12
"395C1","C1",395,7.6,0.51,1127,16.34,251.93
"475C1","C1",475,7.59,0.35,1099,16.98,302.72
"482C1","C1",482,7.68,0.4,1329,16.76,269.22
"489C1","C1",489,7.64,0.44,1106,20.47,335.01
"496C1","C1",496,7.73,0.4,1628,17.29,232
"501C1","C1",501,7.73,0.33,1289,14.62,290
"31C2","C2",31,7.52,0.22,963,13.38,149.46
"34C2","C2",34,7.53,0.12,974,13.73,486.9
"38C2","C2",38,7.55,0.22,1070,14.12,331.79
"41C2","C2",41,7.56,0.24,1075,13.96,562.12
"45C2","C2",45,7.56,0.17,951,13.66,158.75
"59C2","C2",59,7.58,0.18,1123,13.84,204.45
"62C2","C2",62,7.56,0.16,1126,13.74,240.22
"66C2","C2",66,7.55,0.24,1157,13.72,897.69
"69C2","C2",69,7.55,0.02,1146,13.69,123.65
"73C2","C2",73,7.51,0.17,1133,13.84,189.28
"76C2","C2",76,7.5,0.13,1186,13.75,568.3
"80C2","C2",80,7.51,0.12,1196,13.66,468.61
"83C2","C2",83,7.56,0,1163,13.13,257.07
"87C2","C2",87,7.54,0.18,1141,13.23,344.56
"90C2","C2",90,7.57,0.22,1064,13.27,172.76
"97C2","C2",97,7.62,0.14,1074,13.39,170.01
"101C2","C2",101,7.61,0.21,1091,13.83,180.96
"104C2","C2",104,7.61,0.1,1192,18.73,527.07
"111C2","C2",111,7.6,0.21,1105,13.75,385.66
"122C2","C2",122,7.63,0.27,1108,13.4,299.13
"125C2","C2",125,7.64,0.29,1267,13.57,385.07
"129C2","C2",129,7.59,0.19,1159,13.75,339.86
"132C2","C2",132,7.6,0.21,1306,14.43,336.24
"136C2","C2",136,7.62,0.47,1267,14.24,354.6
"160C2","C2",160,7.67,0.46,1150,14.51,515.7
"164C2","C2",164,7.63,0.51,1211,13.91,317.31
"167C2","C2",167,7.64,0.43,1233,13.85,308.86
"171C2","C2",171,7.61,0.46,1153,13.88,471.42
"206C2","C2",206,7.5,0.29,1265,13.92,1150.91
"213C2","C2",213,7.5,0.23,1172,14.64,131.77
"220C2","C2",220,7.5,0.3,1176,15.43,242.92
"238C2","C2",238,7.44,0.17,1284,16.13,230.91
"252C2","C2",252,7.46,0.14,1270,14.18,292.42
"309C2","C2",309,7.56,0.26,1076,16.69,263.38
"312C2","C2",312,7.57,0.36,948,14.93,282.14
"315C2","C2",315,7.58,0.38,1213,15.76,199.32
"319C2","C2",319,7.64,0.21,1203,14.84,440.17
"322C2","C2",322,7.59,0.25,1235,16.69,713.79
"326C2","C2",326,7.64,0.31,1259,15.18,202.58
"336C2","C2",336,7.61,0.38,1023,13.94,222.73
"340C2","C2",340,7.65,0.4,980,13.39,105.66
"347C2","C2",347,7.55,0.42,924,17.77,298.31
"350C2","C2",350,7.62,0.43,1128,13.69,297.23
"368C2","C2",368,7.59,0.37,979,14.16,757.15
"375C2","C2",375,7.59,0.49,954,15.62,282.55
"381C2","C2",381,7.6,0.37,1018,15.64,631.1
"388C2","C2",388,7.61,0.64,1017,15.38,343.75
"395C2","C2",395,7.6,0.54,1041,16.09,279.59
"475C2","C2",475,7.55,0.36,1179,17.91,247.97
"482C2","C2",482,7.65,0.44,1324,20.33,417.36
"489C2","C2",489,7.6,0.46,1357,20.55,580.91
"496C2","C2",496,7.7,0.54,1678,18.9,428.52
"501C2","C2",501,7.69,0.48,1258,16.51,230.73
"31C3","C3",31,7.53,0.17,994,13.53,278.11
"34C3","C3",34,7.53,0.24,1048,13.77,275.14
"38C3","C3",38,7.55,0.2,1070,14.15,313.18
"41C3","C3",41,7.57,0.29,1044,14.17,629.01
"45C3","C3",45,7.57,0.22,984,13.68,542.37
"59C3","C3",59,7.57,0.18,1155,13.99,282.09
"62C3","C3",62,7.57,0.2,1153,13.86,185.12
"66C3","C3",66,7.55,0.18,1108,14.1,943.76
"69C3","C3",69,7.57,0.01,1156,13.66,261.19
"73C3","C3",73,7.54,0.05,1137,14.23,239.01
"76C3","C3",76,7.5,0.17,1167,13.91,185.12
"80C3","C3",80,7.52,0.05,1163,13.99,349.1
"83C3","C3",83,7.56,0.29,1168,13.42,269.11
"87C3","C3",87,7.56,0.16,1150,13.31,253.62
"90C3","C3",90,7.57,0.23,1116,13.31,186
"97C3","C3",97,7.62,0.19,1083,13.61,637.08
"101C3","C3",101,7.61,0.24,1195,13.96,201
"104C3","C3",104,7.63,0.16,1211,18.58,637.08
"111C3","C3",111,7.61,0.16,1076,13.71,2184.27
"122C3","C3",122,7.63,0.32,1140,13.5,273.17
"125C3","C3",125,7.64,0.38,1227,13.42,204.11
"129C3","C3",129,7.6,0.18,1262,13.57,235.74
"132C3","C3",132,7.61,0.59,1334,14.07,261.45
"136C3","C3",136,7.63,0.58,1240,14.13,259.55
"160C3","C3",160,7.67,0.45,1154,14.55,342.93
"164C3","C3",164,7.63,0.63,1159,14.09,409.29
"167C3","C3",167,7.64,0.53,1195,14.31,234.7
"171C3","C3",171,7.6,0.51,1139,14.48,1311.52
"206C3","C3",206,7.51,0.37,1245,13.53,261.43
"213C3","C3",213,7.5,0.25,1202,14.58,336.24
"220C3","C3",220,7.49,0.15,1273,13.78,140.08
"238C3","C3",238,7.5,0.12,1175,13.93,182.68
"252C3","C3",252,7.54,0.11,1275,13.13,122.88
"309C3","C3",309,7.59,0.62,994,13.39,174.67
"312C3","C3",312,7.56,0.48,1266,16.18,233.64
"315C3","C3",315,7.59,0.26,1167,14.05,251.23
